time,"V(CIN)","V(B)","V(A)","V(CLK)","V(COUT)","V(S)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,2.779019e-05,2.730967e-05,2.730967e-05,2.731464e-05,3.660861e-06,3.032443e-06
5.000000e-13,3.154145e-05,3.088458e-05,3.088458e-05,3.089588e-05,8.287018e-06,6.754203e-06
7.500000e-13,4.461484e-05,4.359475e-05,4.359475e-05,4.361839e-05,1.416237e-05,1.135457e-05
1.000000e-12,5.682404e-05,5.543474e-05,5.543474e-05,5.547673e-05,2.107237e-05,1.664049e-05
1.250000e-12,6.562415e-05,6.393401e-05,6.393401e-05,6.399992e-05,2.839665e-05,2.212299e-05
1.500000e-12,6.967818e-05,6.780903e-05,6.780903e-05,6.790263e-05,3.535389e-05,2.721864e-05
1.750000e-12,6.910861e-05,6.719980e-05,6.719980e-05,6.732173e-05,4.127571e-05,3.146215e-05
2.000000e-12,6.527084e-05,6.343973e-05,6.343973e-05,6.358673e-05,4.580731e-05,3.464850e-05
2.250000e-12,6.019654e-05,5.850754e-05,5.850754e-05,5.867250e-05,4.897809e-05,3.686488e-05
2.500000e-12,5.592335e-05,5.437391e-05,5.437391e-05,5.454705e-05,5.113890e-05,3.841903e-05
2.750000e-12,5.392345e-05,5.245003e-05,5.245003e-05,5.262105e-05,5.280722e-05,3.970547e-05
3.000000e-12,5.477900e-05,5.327996e-05,5.327996e-05,5.344072e-05,5.448482e-05,4.106585e-05
3.250000e-12,5.815966e-05,5.652684e-05,5.652684e-05,5.667388e-05,5.651083e-05,4.269157e-05
3.500000e-12,6.306375e-05,6.121222e-05,6.121222e-05,6.134832e-05,5.899133e-05,4.459424e-05
3.750000e-12,6.821434e-05,6.610092e-05,6.610092e-05,6.623513e-05,6.181507e-05,4.664161e-05
4.000000e-12,7.247096e-05,7.009693e-05,7.009693e-05,7.024287e-05,6.473523e-05,4.863473e-05
4.250000e-12,7.513427e-05,7.253343e-05,7.253343e-05,7.270630e-05,6.747917e-05,5.039236e-05
4.500000e-12,7.607264e-05,7.329092e-05,7.329092e-05,7.350402e-05,6.984621e-05,5.181291e-05
4.750000e-12,7.566691e-05,7.274108e-05,7.274108e-05,7.300284e-05,7.176481e-05,5.289751e-05
5.000000e-12,7.462384e-05,7.156580e-05,7.156580e-05,7.187814e-05,7.329921e-05,5.373424e-05
5.250000e-12,4.594694e-05,4.321686e-05,4.321686e-05,4.357044e-05,7.095247e-05,5.142424e-05
5.500000e-12,4.147847e-05,3.879287e-05,3.879287e-05,3.917340e-05,6.755222e-05,4.840930e-05
5.750000e-12,2.772725e-05,2.534390e-05,2.534390e-05,2.572611e-05,6.286198e-05,4.453248e-05
6.000000e-12,1.452323e-05,1.258411e-05,1.258411e-05,1.293846e-05,5.704056e-05,3.994929e-05
6.250000e-12,4.176167e-06,2.791120e-06,2.791120e-06,3.088033e-06,5.059035e-05,3.507286e-05
6.500000e-12,-1.897639e-06,-2.681953e-06,-2.681953e-06,-2.465800e-06,4.418621e-05,3.041929e-05
6.750000e-12,-3.402858e-06,-3.629913e-06,-3.629913e-06,-3.505485e-06,3.847031e-05,2.643357e-05
7.000000e-12,-1.099248e-06,-9.104970e-07,-9.104970e-07,-8.724429e-07,3.388144e-05,2.336072e-05
7.250000e-12,3.510101e-06,3.895263e-06,3.895263e-06,3.868769e-06,3.056294e-05,2.119832e-05
7.500000e-12,8.635895e-06,8.965579e-06,8.965579e-06,8.908760e-06,2.836417e-05,1.973359e-05
8.000000e-12,1.455201e-05,1.417202e-05,1.417202e-05,1.416855e-05,2.578608e-05,1.759164e-05
8.250000e-12,1.392060e-05,1.308049e-05,1.308049e-05,1.314521e-05,2.455281e-05,1.636127e-05
8.500000e-12,1.110278e-05,9.891528e-06,9.891528e-06,1.003103e-05,2.296099e-05,1.486680e-05
8.750000e-12,6.919328e-06,5.524522e-06,5.524522e-06,5.726598e-06,2.093879e-05,1.316817e-05
9.000000e-12,2.416849e-06,1.078774e-06,1.078774e-06,1.314888e-06,1.859146e-05,1.141977e-05
9.250000e-12,-1.411121e-06,-2.458214e-06,-2.458214e-06,-2.226662e-06,1.614377e-05,9.802478e-06
9.500000e-12,-3.849747e-06,-4.435219e-06,-4.435219e-06,-4.248041e-06,1.385842e-05,8.459635e-06
9.750000e-12,-4.593794e-06,-4.652571e-06,-4.652571e-06,-4.541247e-06,1.195560e-05,7.456280e-06
1.000000e-11,-3.766713e-06,-3.354399e-06,-3.354399e-06,-3.334195e-06,1.055523e-05,6.770252e-06
1.025000e-11,-1.836532e-06,-1.113505e-06,-1.113505e-06,-1.179357e-06,9.654554e-06,6.312294e-06
1.050000e-11,5.398044e-07,1.350675e-06,1.350675e-06,1.223287e-06,9.142837e-06,5.963599e-06
1.075000e-11,2.697383e-06,3.367316e-06,3.367316e-06,3.216615e-06,8.843952e-06,5.615838e-06
