time,"V(CLK)","V(A)","V(B)","V(CIN)","V(COUT)","V(S)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.660861e-06,3.032443e-06
5.000000e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.287018e-06,6.754203e-06
7.500000e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.416237e-05,1.135457e-05
1.000000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.107237e-05,1.664049e-05
1.250000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.839665e-05,2.212299e-05
1.500000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.535389e-05,2.721864e-05
1.750000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.127571e-05,3.146215e-05
2.000000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.580731e-05,3.464850e-05
2.250000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.897809e-05,3.686488e-05
2.500000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.113890e-05,3.841903e-05
2.750000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.280722e-05,3.970547e-05
3.000000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.448482e-05,4.106585e-05
3.250000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.651083e-05,4.269157e-05
3.500000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.899133e-05,4.459423e-05
3.750000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.181507e-05,4.664161e-05
4.000000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.473523e-05,4.863473e-05
4.250000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.747917e-05,5.039236e-05
4.500000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.984621e-05,5.181291e-05
4.750000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.176481e-05,5.289751e-05
5.000000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.329921e-05,5.373424e-05
5.250000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.095247e-05,5.142423e-05
5.500000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.755222e-05,4.840930e-05
5.750000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.286198e-05,4.453248e-05
6.000000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.704056e-05,3.994928e-05
6.250000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.059035e-05,3.507285e-05
6.500000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.418621e-05,3.041929e-05
6.750000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.847031e-05,2.643357e-05
7.000000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.388144e-05,2.336071e-05
7.250000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.056294e-05,2.119831e-05
7.500000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.836417e-05,1.973358e-05
8.000000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.578608e-05,1.759163e-05
8.250000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.455281e-05,1.636126e-05
8.500000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.296099e-05,1.486679e-05
8.750000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.093879e-05,1.316816e-05
9.000000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.859146e-05,1.141976e-05
9.250000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.614377e-05,9.802467e-06
9.500000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.385842e-05,8.459625e-06
9.750000e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.195560e-05,7.456271e-06
1.000000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.055523e-05,6.770245e-06
1.025000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.654553e-06,6.312287e-06
1.050000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.142836e-06,5.963592e-06
1.075000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.843951e-06,5.615831e-06
1.100000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.571434e-06,5.200615e-06
1.125000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.179000e-06,4.701132e-06
1.150000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.593232e-06,4.145620e-06
1.175000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.821926e-06,3.588158e-06
1.200000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.939140e-06,3.085238e-06
1.225000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.054210e-06,2.676304e-06
1.250000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.275381e-06,2.373675e-06
1.275000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.678830e-06,2.163199e-06
1.300000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.290911e-06,2.013316e-06
1.325000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.086798e-06,1.887934e-06
1.350000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.003636e-06,1.758185e-06
1.375000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.962511e-06,1.609475e-06
1.400000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.891830e-06,1.442477e-06
1.425000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.745402e-06,1.268973e-06
1.450000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.510916e-06,1.104964e-06
1.475000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.207866e-06,9.638970e-07
1.500000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.877012e-06,8.522461e-07
1.525000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.565533e-06,7.684489e-07
1.550000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.312621e-06,7.048729e-07
1.575000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.139444e-06,6.515096e-07
1.600000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.045631e-06,5.997640e-07
1.625000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012280e-06,5.449895e-07
1.650000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.009665e-06,4.871168e-07
1.675000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.006796e-06,4.295188e-07
1.700000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.798845e-07,3.768495e-07
1.725000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.175528e-07,3.328262e-07
1.750000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.218445e-07,2.987721e-07
1.775000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.054163e-07,2.733213e-07
1.800000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.862767e-07,2.532013e-07
1.825000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.818979e-07,2.346314e-07
1.850000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.044092e-07,2.147272e-07
1.875000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.580135e-07,1.923900e-07
1.900000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.389755e-07,1.684272e-07
1.925000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.377758e-07,1.449617e-07
1.950000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.424978e-07,1.244364e-07
1.975000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.423313e-07,1.086261e-07
2.000000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.302303e-07,9.800695e-08
2.025000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.041430e-07,9.166551e-08
2.050000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.667161e-07,8.771196e-08
2.075000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.237954e-07,8.399255e-08
2.100000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.823161e-07,7.881662e-08
2.125000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.482408e-07,7.144566e-08
2.150000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.250831e-07,6.220558e-08
2.175000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.133150e-07,5.223025e-08
2.200000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.106738e-07,4.296865e-08
2.225000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.131464e-07,3.565076e-08
2.250000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.162669e-07,3.089552e-08
2.275000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.163370e-07,2.857218e-08
2.300000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.112624e-07,2.792683e-08
2.325000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.008447e-07,2.789594e-08
2.350000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.653319e-08,2.747794e-08
2.375000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.078339e-08,2.603291e-08
2.400000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.624614e-08,2.342291e-08
2.425000e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.502475e-08,1.997076e-08
